x u
(0,0.05855213034)
(0.02,0.05400942237)
(0.04,0.05698429109)
(0.06,0.05478628939)
(0.08,0.05931521851)
(0.1,0.05733864856)
(0.12,0.05839472757)
(0.14,0.05860772151)
(0.16,0.06014577872)
(0.18,0.0594443255)
(0.2,0.05612651222)
(0.22,0.05723480141)
(0.24,0.05934790324)
(0.26,0.06145974439)
(0.28,0.06067552002)
(0.3,0.06174601163)
(0.32,0.0643423261)
(0.34,0.06425068416)
(0.36,0.06047657618)
(0.38,0.06380293523)
(0.4,0.0664771372)
(0.42,0.07203165294)
(0.44,0.06887398209)
(0.46,0.06924549653)
(0.48,0.07695622223)
(0.5,0.07453799778)
(0.52,0.07921652445)
(0.54,0.08181283628)
(0.56,0.08430470537)
(0.58,0.09296958649)
(0.6,0.08542746065)
(0.62,0.1020241785)
(0.64,0.1167728007)
(0.66,0.1222539554)
(0.68,0.1449329846)
(0.7,0.177772591)
(0.72,0.2101269076)
(0.74,0.2076218916)
(0.76,0.1718146633)
(0.78,0.07645681951)
(0.8,0.005766133107)
(0.82,-0.02102633618)
(0.84,-0.01490604448)
(0.86,0.0108664768)
(0.88,0.01343023673)
(0.9,-0.004749395711)
(0.92,-0.009917574905)
(0.94,0.006277743025)
(0.96,-0.004641181608)
(0.98,0.0001104326154)
(1,0.00028478609)
