(0,nan)
(0.01,0.0566438788)
(0.02,0.05665906011)
(0.03,0.05668438955)
(0.04,0.0567199081)
(0.05,0.05676567343)
(0.06,0.0568217601)
(0.07,0.05688825996)
(0.08,0.05696528251)
(0.09,0.05705295548)
(0.1,0.05715142534)
(0.11,0.0572608581)
(0.12,0.05738144002)
(0.13,0.05751337854)
(0.14,0.05765690335)
(0.15,0.0578122675)
(0.16,0.0579797487)
(0.17,0.0581596508)
(0.18,0.0583523054)
(0.19,0.05855807366)
(0.2,0.05877734831)
(0.21,0.05901055594)
(0.22,0.05925815949)
(0.23,0.05952066105)
(0.24,0.05979860501)
(0.25,0.06009258155)
(0.26,0.06040323059)
(0.27,0.06073124612)
(0.28,0.06107738119)
(0.29,0.06144245345)
(0.3,0.06182735135)
(0.31,0.06223304125)
(0.32,0.06266057537)
(0.33,0.06311110089)
(0.34,0.06358587021)
(0.35,0.06408625278)
(0.36,0.06461374849)
(0.37,0.06517000322)
(0.38,0.06575682657)
(0.39,0.06637621255)
(0.4,0.06703036345)
(0.41,0.06772171774)
(0.42,0.06845298278)
(0.43,0.06922717317)
(0.44,0.07004765627)
(0.45,0.07091820617)
(0.46,0.07184306829)
(0.47,0.07282703709)
(0.48,0.07387555016)
(0.49,0.07499480299)
(0.5,0.07619189005)
(0.51,0.07747497964)
(0.52,0.07885353262)
(0.53,0.08033857877)
(0.54,0.08194306978)
(0.55,0.08368233568)
(0.56,0.08557468294)
(0.57,0.08764219025)
(0.58,0.08991178522)
(0.59,0.09241672968)
(0.6,0.09519871442)
(0.61,0.09831089032)
(0.62,0.1018223893)
(0.63,0.1058253169)
(0.64,0.1104460584)
(0.65,0.1158646153)
(0.66,0.1223501872)
(0.67,0.1303336085)
(0.68,0.1405788635)
(0.69,0.1547112057)
(0.7,0.1787885246)
(0.71,0.2130059548)
(0.72,0.2284331529)
(0.73,0.2273068359)
(0.74,0.2119846169)
(0.75,0.1849989957)
(0.76,0.1491430278)
(0.77,0.1076203261)
(0.78,0.06434877651)
(0.79,0.02475038602)
(0.8,0)
(0.81,0)
(0.82,0)
(0.83,0)
(0.84,0)
(0.85,0)
(0.86,0)
(0.87,0)
(0.88,0)
(0.89,0)
(0.9,0)
(0.91,0)
(0.92,0)
(0.93,0)
(0.94,0)
(0.95,0)
(0.96,0)
(0.97,0)
(0.98,0)
(0.99,0)
(1,0)
